date,team,opponent,us,them,source,source_url
2026-08-21,Boys Varsity Football,Avon Lake,24,22,joeeitel.com,https://joeeitel.com/hsfoot/teams.jsp?teamID=1498&year=2026
2026-08-28,Boys Varsity Football,Highland,27,31,joeeitel.com,https://joeeitel.com/hsfoot/teams.jsp?teamID=1498&year=2026
2026-09-04,Boys Varsity Football,Olmsted Falls,21,38,joeeitel.com,https://joeeitel.com/hsfoot/teams.jsp?teamID=1498&year=2026
2026-09-11,Boys Varsity Football,Cleveland Heights,45,18,joeeitel.com,https://joeeitel.com/hsfoot/teams.jsp?teamID=1498&year=2026
2026-08-18,Boys JV A Soccer,Aurora,8,1,MaxPreps,https://www.maxpreps.com/oh/strongsville/strongsville-mustangs/soccer/jv/
